,Target Column,correlation Value Threshold,Correlated Columns,Columns to Exclude
0,type,0.6,"['volatile acidity', 'total sulfur dioxide']","['alcohol' 'chlorides' 'citric acid' 'density' 'fixed acidity'
 'free sulfur dioxide' 'pH' 'quality' 'quality_range' 'residual sugar'
 'sulphates']"
1,fixed acidity,0.6,[],"['alcohol' 'chlorides' 'citric acid' 'density' 'free sulfur dioxide' 'pH'
 'quality' 'quality_range' 'residual sugar' 'sulphates'
 'total sulfur dioxide' 'type' 'volatile acidity']"
2,volatile acidity,0.6,['type'],"['alcohol' 'chlorides' 'citric acid' 'density' 'fixed acidity'
 'free sulfur dioxide' 'pH' 'quality' 'quality_range' 'residual sugar'
 'sulphates' 'total sulfur dioxide']"
3,citric acid,0.6,[],"['alcohol' 'chlorides' 'density' 'fixed acidity' 'free sulfur dioxide'
 'pH' 'quality' 'quality_range' 'residual sugar' 'sulphates'
 'total sulfur dioxide' 'type' 'volatile acidity']"
4,residual sugar,0.6,[],"['alcohol' 'chlorides' 'citric acid' 'density' 'fixed acidity'
 'free sulfur dioxide' 'pH' 'quality' 'quality_range' 'sulphates'
 'total sulfur dioxide' 'type' 'volatile acidity']"
5,chlorides,0.6,[],"['alcohol' 'citric acid' 'density' 'fixed acidity' 'free sulfur dioxide'
 'pH' 'quality' 'quality_range' 'residual sugar' 'sulphates'
 'total sulfur dioxide' 'type' 'volatile acidity']"
6,free sulfur dioxide,0.6,['total sulfur dioxide'],"['alcohol' 'chlorides' 'citric acid' 'density' 'fixed acidity' 'pH'
 'quality' 'quality_range' 'residual sugar' 'sulphates' 'type'
 'volatile acidity']"
7,total sulfur dioxide,0.6,"['type', 'free sulfur dioxide']","['alcohol' 'chlorides' 'citric acid' 'density' 'fixed acidity' 'pH'
 'quality' 'quality_range' 'residual sugar' 'sulphates' 'volatile acidity']"
8,density,0.6,['alcohol'],"['chlorides' 'citric acid' 'fixed acidity' 'free sulfur dioxide' 'pH'
 'quality' 'quality_range' 'residual sugar' 'sulphates'
 'total sulfur dioxide' 'type' 'volatile acidity']"
9,pH,0.6,[],"['alcohol' 'chlorides' 'citric acid' 'density' 'fixed acidity'
 'free sulfur dioxide' 'quality' 'quality_range' 'residual sugar'
 'sulphates' 'total sulfur dioxide' 'type' 'volatile acidity']"
10,sulphates,0.6,[],"['alcohol' 'chlorides' 'citric acid' 'density' 'fixed acidity'
 'free sulfur dioxide' 'pH' 'quality' 'quality_range' 'residual sugar'
 'total sulfur dioxide' 'type' 'volatile acidity']"
11,alcohol,0.6,['density'],"['chlorides' 'citric acid' 'fixed acidity' 'free sulfur dioxide' 'pH'
 'quality' 'quality_range' 'residual sugar' 'sulphates'
 'total sulfur dioxide' 'type' 'volatile acidity']"
12,quality,0.6,['quality_range'],"['alcohol' 'chlorides' 'citric acid' 'density' 'fixed acidity'
 'free sulfur dioxide' 'pH' 'residual sugar' 'sulphates'
 'total sulfur dioxide' 'type' 'volatile acidity']"
13,quality_range,0.6,['quality'],"['alcohol' 'chlorides' 'citric acid' 'density' 'fixed acidity'
 'free sulfur dioxide' 'pH' 'residual sugar' 'sulphates'
 'total sulfur dioxide' 'type' 'volatile acidity']"
